metric,method,build_s,idx_size,recall,qps,avg_ms
cosine,"tqivf (lists=2781,probes=10,rerank=100) [8bit]",948.7848695437424,3979.7 MB,0.8125,49.41682335724864,20.236023525241762
cosine,"tqivf (lists=2781,probes=10,rerank=200) [8bit]",948.7848695437424,3979.7 MB,0.8125,50.22817276783682,19.9091455033049
cosine,"tqivf (lists=2781,probes=10,rerank=2000) [8bit]",948.7848695437424,3979.7 MB,0.8125,13.498927773743723,74.07995781302452
cosine,"tqivf (lists=2781,probes=30,rerank=100) [8bit]",948.7848695437424,3979.7 MB,0.9081,24.60640174833849,40.639830651693046
cosine,"tqivf (lists=2781,probes=30,rerank=200) [8bit]",948.7848695437424,3979.7 MB,0.9081,24.034251867698732,41.6072863638401
cosine,"tqivf (lists=2781,probes=30,rerank=2000) [8bit]",948.7848695437424,3979.7 MB,0.9081,15.077012204896423,66.3261385220103
cosine,"tqivf (lists=2781,probes=99,rerank=100) [8bit]",948.7848695437424,3979.7 MB,0.9638,7.724796040586062,129.45325607899576
cosine,"tqivf (lists=2781,probes=99,rerank=200) [8bit]",948.7848695437424,3979.7 MB,0.9638,7.677650673058395,130.24817650392652
cosine,"tqivf (lists=2781,probes=99,rerank=2000) [8bit]",948.7848695437424,3979.7 MB,0.9638,6.567789199304881,152.25823631882668
cosine,"tqivf (lists=2781,probes=200,rerank=100) [8bit]",948.7848695437424,3979.7 MB,0.9832,3.944306050614743,253.53002205397934
cosine,"tqivf (lists=2781,probes=200,rerank=200) [8bit]",948.7848695437424,3979.7 MB,0.9832,3.921491168802092,255.0050368481316
cosine,"tqivf (lists=2781,probes=200,rerank=2000) [8bit]",948.7848695437424,3979.7 MB,0.9832,3.628365260280907,275.60621058382094
cosine,"tqivf (lists=2781,probes=400,rerank=100) [8bit]",948.7848695437424,3979.7 MB,0.9936,2.0290922399004643,492.83121798792854
cosine,"tqivf (lists=2781,probes=400,rerank=200) [8bit]",948.7848695437424,3979.7 MB,0.9936,2.023191836136508,494.26850293623284
cosine,"tqivf (lists=2781,probes=400,rerank=2000) [8bit]",948.7848695437424,3979.7 MB,0.9936,1.9361375502705562,516.4922295217402
cosine,"tqhnsw (m=16,ef_construction=64,ef_search=40,rerank=100) [8bit]",5692.5161225618795,6043.0 MB,0.834,113.61541899563353,8.801622251980007
cosine,"tqhnsw (m=16,ef_construction=64,ef_search=40,rerank=200) [8bit]",5692.5161225618795,6043.0 MB,0.834,185.69834668844894,5.38507756171748
cosine,"tqhnsw (m=16,ef_construction=64,ef_search=100,rerank=100) [8bit]",5692.5161225618795,6043.0 MB,0.9164,69.48283591617054,14.392043543048203
cosine,"tqhnsw (m=16,ef_construction=64,ef_search=100,rerank=200) [8bit]",5692.5161225618795,6043.0 MB,0.9164,97.92265232442432,10.212141687981784
cosine,"tqhnsw (m=16,ef_construction=64,ef_search=200,rerank=100) [8bit]",5692.5161225618795,6043.0 MB,0.9449,56.337094859215846,17.75029405578971
cosine,"tqhnsw (m=16,ef_construction=64,ef_search=200,rerank=200) [8bit]",5692.5161225618795,6043.0 MB,0.9449,42.880277183161525,23.320744773373008
cosine,"hnsw (m=32,ef_construction=128,ef_search=100)",10781.407978094183,30214.9 MB,0.9762,71.0330057326706,14.077962627168745
cosine,"ivfflat (lists=2781,probes=278)",987.0532464790158,30231.2 MB,0.9879,0.8042987432142342,1243.3191129998304
cosine,"tqflat (bits=4,rerank=200) [8bit] [fast,noqjl]",193.6294717718847,3923.2 MB,1.0,0.24056185851623113,4156.934961210936
cosine,"tqflat (bits=4,rerank=2000) [8bit] [fast,noqjl]",193.6294717718847,3923.2 MB,1.0,0.23805797111117322,4200.657492510509
