metric,method,build_s,idx_size,recall,qps,avg_ms
cosine,"tqflat (bits=4,rerank=200) [8bit] [fast,noqjl]",7.778737244661897,164.6 MB,1.0,3.4560653178778846,289.3463832489215
cosine,"tqflat (bits=4,rerank=2000) [8bit] [fast,noqjl]",7.778737244661897,164.6 MB,1.0,3.3766909409863035,296.1479203980416
cosine,"tqivf (lists=1087,probes=10,rerank=100) [8bit]",17.985343129839748,177.5 MB,0.7262,316.9405708475216,3.155165642965585
cosine,"tqivf (lists=1087,probes=10,rerank=200) [8bit]",17.985343129839748,177.5 MB,0.7262,310.35662643057157,3.222099722828716
cosine,"tqivf (lists=1087,probes=10,rerank=2000) [8bit]",17.985343129839748,177.5 MB,0.7262,112.9344986221244,8.854690216016024
cosine,"tqivf (lists=1087,probes=30,rerank=100) [8bit]",17.985343129839748,177.5 MB,0.8428,142.17401761852128,7.03363397018984
cosine,"tqivf (lists=1087,probes=30,rerank=200) [8bit]",17.985343129839748,177.5 MB,0.8428,136.80427121330723,7.309713294263929
cosine,"tqivf (lists=1087,probes=30,rerank=2000) [8bit]",17.985343129839748,177.5 MB,0.8428,75.08459279595118,13.318311557173729
cosine,"tqivf (lists=1087,probes=99,rerank=100) [8bit]",17.985343129839748,177.5 MB,0.9306,49.035505035835094,20.39338636910543
cosine,"tqivf (lists=1087,probes=99,rerank=200) [8bit]",17.985343129839748,177.5 MB,0.9306,47.75696060421815,20.939356009010226
cosine,"tqivf (lists=1087,probes=99,rerank=2000) [8bit]",17.985343129839748,177.5 MB,0.9306,36.00245333042962,27.775884904898703
cosine,"tqivf (lists=1087,probes=200,rerank=100) [8bit]",17.985343129839748,177.5 MB,0.9679,25.073509142093197,39.88273018877953
cosine,"tqivf (lists=1087,probes=200,rerank=200) [8bit]",17.985343129839748,177.5 MB,0.9679,24.716302688944904,40.45912580797449
cosine,"tqivf (lists=1087,probes=200,rerank=2000) [8bit]",17.985343129839748,177.5 MB,0.9679,20.726890019088344,48.24650485813618
cosine,"tqivf (lists=1087,probes=400,rerank=100) [8bit]",17.985343129839748,177.5 MB,0.9897,12.805003206087152,78.09447478502989
cosine,"tqivf (lists=1087,probes=400,rerank=200) [8bit]",17.985343129839748,177.5 MB,0.9897,12.764587272899263,78.34174177516252
cosine,"tqivf (lists=1087,probes=400,rerank=2000) [8bit]",17.985343129839748,177.5 MB,0.9897,11.456256349277393,87.28854954987764
cosine,"tqhnsw (m=16,ef_construction=64,ef_search=40,rerank=100) [8bit]",208.59048222796991,424.0 MB,0.592,285.93634177340704,3.497281925752759
cosine,"tqhnsw (m=16,ef_construction=64,ef_search=40,rerank=200) [8bit]",208.59048222796991,424.0 MB,0.592,264.9285846025265,3.77460213098675
cosine,"tqhnsw (m=16,ef_construction=64,ef_search=100,rerank=100) [8bit]",208.59048222796991,424.0 MB,0.7072,145.5311346767099,6.871381867676973
cosine,"tqhnsw (m=16,ef_construction=64,ef_search=100,rerank=200) [8bit]",208.59048222796991,424.0 MB,0.7072,146.6216894808595,6.820273341145366
cosine,"tqhnsw (m=16,ef_construction=64,ef_search=200,rerank=100) [8bit]",208.59048222796991,424.0 MB,0.7781,85.36602228989142,11.714262573979795
cosine,"tqhnsw (m=16,ef_construction=64,ef_search=200,rerank=200) [8bit]",208.59048222796991,424.0 MB,0.7781,83.25389773581227,12.011449640151113
cosine,"hnsw (m=32,ef_construction=128,ef_search=100)",344.46566747594625,1541.5 MB,0.8328,84.28158265523963,11.864988393615931
cosine,"ivfflat (lists=1087,probes=108)",19.25204437226057,1032.2 MB,0.9274,17.71439056137269,56.451278780121356
