metric,method,build_s,idx_size,recall,qps,avg_ms
cosine,"tqflat (bits=4,rerank=200) [8bit] [fast,noqjl]",46.454357378184795,997.7 MB,1.0,1.1427534203163745,875.0794197781943
cosine,"tqflat (bits=4,rerank=2000) [8bit] [fast,noqjl]",46.454357378184795,997.7 MB,1.0,1.1049398981797371,905.0266006751917
cosine,"tqivf (lists=999,probes=10,rerank=100) [8bit]",83.40317893587053,1028.8 MB,0.855,123.56899870265777,8.092644680291414
cosine,"tqivf (lists=999,probes=10,rerank=200) [8bit]",83.40317893587053,1028.8 MB,0.855,106.29040169920204,9.40818723058328
cosine,"tqivf (lists=999,probes=10,rerank=2000) [8bit]",83.40317893587053,1028.8 MB,0.855,36.290139699584735,27.55569441942498
cosine,"tqivf (lists=999,probes=30,rerank=100) [8bit]",83.40317893587053,1028.8 MB,0.932,57.33365085106684,17.441763870883733
cosine,"tqivf (lists=999,probes=30,rerank=200) [8bit]",83.40317893587053,1028.8 MB,0.932,54.402997944527115,18.38133995886892
cosine,"tqivf (lists=999,probes=30,rerank=2000) [8bit]",83.40317893587053,1028.8 MB,0.932,25.95039319021019,38.53506159503013
cosine,"tqivf (lists=999,probes=99,rerank=100) [8bit]",83.40317893587053,1028.8 MB,0.979,19.62180905609314,50.96370049985126
cosine,"tqivf (lists=999,probes=99,rerank=200) [8bit]",83.40317893587053,1028.8 MB,0.979,19.008390264275175,52.6083474769257
cosine,"tqivf (lists=999,probes=99,rerank=2000) [8bit]",83.40317893587053,1028.8 MB,0.979,13.501643087783691,74.06505960039794
cosine,"tqivf (lists=999,probes=200,rerank=100) [8bit]",83.40317893587053,1028.8 MB,0.992,9.859128892090503,101.42883929656819
cosine,"tqivf (lists=999,probes=200,rerank=200) [8bit]",83.40317893587053,1028.8 MB,0.992,9.742111736298144,102.64714951626956
cosine,"tqivf (lists=999,probes=200,rerank=2000) [8bit]",83.40317893587053,1028.8 MB,0.992,8.031207541656736,124.51427693944424
cosine,"tqivf (lists=999,probes=400,rerank=100) [8bit]",83.40317893587053,1028.8 MB,0.9985,5.042339720102185,198.32063199020922
cosine,"tqivf (lists=999,probes=400,rerank=200) [8bit]",83.40317893587053,1028.8 MB,0.9985,5.018237162470291,199.2731645843014
cosine,"tqivf (lists=999,probes=400,rerank=2000) [8bit]",83.40317893587053,1028.8 MB,0.9985,4.503929196335615,222.02835710952058
cosine,"tqhnsw (m=16,ef_construction=64,ef_search=40,rerank=100) [8bit]",577.0897797178477,1301.8 MB,0.923,73.83211242783115,13.544242025818676
cosine,"tqhnsw (m=16,ef_construction=64,ef_search=40,rerank=200) [8bit]",577.0897797178477,1301.8 MB,0.923,105.39989801766868,9.48767521418631
cosine,"tqhnsw (m=16,ef_construction=64,ef_search=100,rerank=100) [8bit]",577.0897797178477,1301.8 MB,0.9555,56.2665224970177,17.77255738619715
cosine,"tqhnsw (m=16,ef_construction=64,ef_search=100,rerank=200) [8bit]",577.0897797178477,1301.8 MB,0.9555,73.27091400272894,13.647980424575508
cosine,"tqhnsw (m=16,ef_construction=64,ef_search=200,rerank=100) [8bit]",577.0897797178477,1301.8 MB,0.9755,46.39185850855084,21.55550633557141
cosine,"tqhnsw (m=16,ef_construction=64,ef_search=200,rerank=200) [8bit]",577.0897797178477,1301.8 MB,0.9755,38.93109275871143,25.68640973418951
cosine,"hnsw (m=32,ef_construction=128,ef_search=100)",701.9738730187528,7810.9 MB,0.9905,88.2122554502699,11.336293295025826
cosine,"ivfflat (lists=999,probes=99)",87.94232883909717,7818.8 MB,0.9785,4.6008722912429505,217.3500885698013
