metric,method,build_s,idx_size,recall,qps,avg_ms
l2,"tqflat (bits=4,rerank=200) [8bit] [fast,noqjl]",3.1596782370470464,77.8 MB,0.9994,5.695137414088692,175.58838835498318
l2,"tqflat (bits=4,rerank=2000) [8bit] [fast,noqjl]",3.1596782370470464,77.8 MB,0.9993,5.550878149716793,180.15167564991862
l2,"tqivf (lists=1000,probes=10,rerank=100) [8bit]",9.926045692991465,87.8 MB,0.8581,528.2082357928932,1.8931927452795208
l2,"tqivf (lists=1000,probes=10,rerank=200) [8bit]",9.926045692991465,87.8 MB,0.8581,465.50511913081823,2.1482040882110596
l2,"tqivf (lists=1000,probes=10,rerank=2000) [8bit]",9.926045692991465,87.8 MB,0.8581,160.4833709071159,6.2311751949600875
l2,"tqivf (lists=1000,probes=30,rerank=100) [8bit]",9.926045692991465,87.8 MB,0.9739,211.31568227764407,4.732256447896361
l2,"tqivf (lists=1000,probes=30,rerank=200) [8bit]",9.926045692991465,87.8 MB,0.974,199.35076876267814,5.0162836401723325
l2,"tqivf (lists=1000,probes=30,rerank=2000) [8bit]",9.926045692991465,87.8 MB,0.9738,106.14638531937105,9.420951989945024
l2,"tqivf (lists=1000,probes=99,rerank=100) [8bit]",9.926045692991465,87.8 MB,0.9984,68.88278362280988,14.517415635753423
l2,"tqivf (lists=1000,probes=99,rerank=200) [8bit]",9.926045692991465,87.8 MB,0.9984,67.04482616571508,14.91539403097704
l2,"tqivf (lists=1000,probes=99,rerank=2000) [8bit]",9.926045692991465,87.8 MB,0.9985,50.24893702719082,19.90091849025339
l2,"tqivf (lists=1000,probes=200,rerank=100) [8bit]",9.926045692991465,87.8 MB,0.9994,34.64129504617128,28.867281049024314
l2,"tqivf (lists=1000,probes=200,rerank=200) [8bit]",9.926045692991465,87.8 MB,0.9993,34.37218686812415,29.093289985787123
l2,"tqivf (lists=1000,probes=200,rerank=2000) [8bit]",9.926045692991465,87.8 MB,0.9994,29.055605594415876,34.416766731999815
l2,"tqivf (lists=1000,probes=400,rerank=100) [8bit]",9.926045692991465,87.8 MB,0.9994,18.146774264484314,55.10621256567538
l2,"tqivf (lists=1000,probes=400,rerank=200) [8bit]",9.926045692991465,87.8 MB,0.9995,18.075947436186716,55.32213476113975
l2,"tqivf (lists=1000,probes=400,rerank=2000) [8bit]",9.926045692991465,87.8 MB,0.9993,16.406857989438034,60.95012223813683
l2,"tqhnsw (m=16,ef_construction=64,ef_search=40,rerank=100) [8bit]",88.01637590490282,295.7 MB,0.9225,452.7633005694982,2.2086595771834254
l2,"tqhnsw (m=16,ef_construction=64,ef_search=40,rerank=200) [8bit]",88.01637590490282,295.7 MB,0.9225,461.9262719277455,2.16484764078632
l2,"tqhnsw (m=16,ef_construction=64,ef_search=100,rerank=100) [8bit]",88.01637590490282,295.7 MB,0.9758,224.39083796193898,4.456509940791875
l2,"tqhnsw (m=16,ef_construction=64,ef_search=100,rerank=200) [8bit]",88.01637590490282,295.7 MB,0.9758,230.00781248074773,4.347678408026695
l2,"tqhnsw (m=16,ef_construction=64,ef_search=200,rerank=100) [8bit]",88.01637590490282,295.7 MB,0.9919,127.48261738332194,7.844206688925624
l2,"tqhnsw (m=16,ef_construction=64,ef_search=200,rerank=200) [8bit]",88.01637590490282,295.7 MB,0.9919,122.54214527429454,8.160457757301629
l2,"hnsw (m=32,ef_construction=128,ef_search=100)",181.54509566398337,966.3 MB,0.9956,124.49170392272318,8.032663771882653
l2,"ivfflat (lists=1000,probes=100)",9.323867042083293,525.0 MB,0.9987,28.839168487311056,34.675063549075276
