metric,method,build_s,idx_size,recall,qps,avg_ms
cosine,"tqhnsw (m=32,ef_construction=128,ef_search=100,rerank=30) [8bit]",25278.377381167375,7553.9 MB,0.9655,50.86444337413919,19.66009915107861
cosine,"tqhnsw (m=32,ef_construction=128,ef_search=100,rerank=50) [8bit]",25278.377381167375,7553.9 MB,0.9655,53.632894493725374,18.64527375297621
cosine,"tqhnsw (m=32,ef_construction=128,ef_search=100,rerank=100) [8bit]",25278.377381167375,7553.9 MB,0.9655,48.640358786115144,20.559058875311166
cosine,"tqhnsw (m=32,ef_construction=128,ef_search=200,rerank=30) [8bit]",25278.377381167375,7553.9 MB,0.9833,32.89200616519145,30.40252379188314
cosine,"tqhnsw (m=32,ef_construction=128,ef_search=200,rerank=50) [8bit]",25278.377381167375,7553.9 MB,0.9833,32.61694186525992,30.658913522027433
cosine,"tqhnsw (m=32,ef_construction=128,ef_search=200,rerank=100) [8bit]",25278.377381167375,7553.9 MB,0.9833,32.04424611372427,31.206850566901267
cosine,"tqhnsw (m=32,ef_construction=128,ef_search=400,rerank=30) [8bit]",25278.377381167375,7553.9 MB,0.9929,17.493049770664314,57.16556078614667
cosine,"tqhnsw (m=32,ef_construction=128,ef_search=400,rerank=50) [8bit]",25278.377381167375,7553.9 MB,0.9929,17.312964268833493,57.760183898732066
cosine,"tqhnsw (m=32,ef_construction=128,ef_search=400,rerank=100) [8bit]",25278.377381167375,7553.9 MB,0.9929,17.2635653212437,57.92546217376366
cosine,"tqhnsw (m=32,ef_construction=128,ef_search=800,rerank=30) [8bit]",25278.377381167375,7553.9 MB,0.9959,8.92477307489327,112.04766682675108
cosine,"tqhnsw (m=32,ef_construction=128,ef_search=800,rerank=50) [8bit]",25278.377381167375,7553.9 MB,0.9959,8.929363912571592,111.99005996296182
cosine,"tqhnsw (m=32,ef_construction=128,ef_search=800,rerank=100) [8bit]",25278.377381167375,7553.9 MB,0.9959,8.87666522696616,112.6549187595956
