metric,method,build_s,idx_size,recall,qps,avg_ms
cosine,"tqflat (bits=4,rerank=200) [8bit] [fast,noqjl]",6.142486010212451,164.6 MB,1.0,3.4883256016724076,286.67048727348447
cosine,"tqflat (bits=4,rerank=2000) [8bit] [fast,noqjl]",6.142486010212451,164.6 MB,1.0,3.421971746263607,292.22918076161295
cosine,"tqivf (lists=1087,probes=10,rerank=100) [8bit]",37.562556424643844,177.5 MB,0.7266,270.3260363493018,3.699236719869077
cosine,"tqivf (lists=1087,probes=10,rerank=200) [8bit]",37.562556424643844,177.5 MB,0.7266,150.94528167919782,6.6249172473326325
cosine,"tqivf (lists=1087,probes=10,rerank=2000) [8bit]",37.562556424643844,177.5 MB,0.7266,97.8403797922619,10.22072892729193
cosine,"tqivf (lists=1087,probes=30,rerank=100) [8bit]",37.562556424643844,177.5 MB,0.8366,146.24585800008077,6.837800493463874
cosine,"tqivf (lists=1087,probes=30,rerank=200) [8bit]",37.562556424643844,177.5 MB,0.8366,138.31757387790938,7.229739301837981
cosine,"tqivf (lists=1087,probes=30,rerank=2000) [8bit]",37.562556424643844,177.5 MB,0.8366,75.87034022312312,13.180381122045219
cosine,"tqivf (lists=1087,probes=99,rerank=100) [8bit]",37.562556424643844,177.5 MB,0.9364,49.791025398665795,20.08394066989422
cosine,"tqivf (lists=1087,probes=99,rerank=200) [8bit]",37.562556424643844,177.5 MB,0.9364,48.66632318718141,20.54809022974223
cosine,"tqivf (lists=1087,probes=99,rerank=2000) [8bit]",37.562556424643844,177.5 MB,0.9364,36.827251116931784,27.153805121779442
cosine,"tqivf (lists=1087,probes=200,rerank=100) [8bit]",37.562556424643844,177.5 MB,0.9704,25.545452359078084,39.14591082371771
cosine,"tqivf (lists=1087,probes=200,rerank=200) [8bit]",37.562556424643844,177.5 MB,0.9704,25.1927210091759,39.694005249999464
cosine,"tqivf (lists=1087,probes=200,rerank=2000) [8bit]",37.562556424643844,177.5 MB,0.9704,21.21681289507319,47.13243242260069
cosine,"tqivf (lists=1087,probes=400,rerank=100) [8bit]",37.562556424643844,177.5 MB,0.9868,13.009671888894554,76.86588935833424
cosine,"tqivf (lists=1087,probes=400,rerank=200) [8bit]",37.562556424643844,177.5 MB,0.9868,12.938058214309544,77.29135110042989
cosine,"tqivf (lists=1087,probes=400,rerank=2000) [8bit]",37.562556424643844,177.5 MB,0.9868,11.610053782267542,86.132245272398
cosine,"hnsw (m=32,ef_construction=128,ef_search=100)",434.4610693221912,1541.5 MB,0.8326,85.46241072372695,11.701050690375268
cosine,"ivfflat (lists=1087,probes=108)",20.54502240428701,1032.1 MB,0.9386,18.002571986442952,55.547618459910154
