metric,method,build_s,idx_size,recall,qps,avg_ms
cosine,exact (seqscan),0.0,—,1.0,0.6703011453964883,1491.8667629733682
cosine,"tqflat (bits=4,rerank=200) [8bit] [fast,noqjl]",46.50492646638304,997.7 MB,1.0,1.133288680807497,882.3877066234127
cosine,"tqflat (bits=4,rerank=2000) [8bit] [fast,noqjl]",46.50492646638304,997.7 MB,1.0,1.0863432053162456,920.5194040946662
cosine,"tqivf (lists=999,probes=10,rerank=100) [8bit]",163.92975124996156,1028.6 MB,0.8585,91.45368936998838,10.934495993424207
cosine,"tqivf (lists=999,probes=10,rerank=200) [8bit]",163.92975124996156,1028.6 MB,0.8585,76.30488229520476,13.105321309994906
cosine,"tqivf (lists=999,probes=10,rerank=2000) [8bit]",163.92975124996156,1028.6 MB,0.8585,32.22327180749049,31.033471894916147
cosine,"tqivf (lists=999,probes=30,rerank=100) [8bit]",163.92975124996156,1028.6 MB,0.927,57.51823551166081,17.385790629778057
cosine,"tqivf (lists=999,probes=30,rerank=200) [8bit]",163.92975124996156,1028.6 MB,0.927,53.55451351405826,18.672562486026436
cosine,"tqivf (lists=999,probes=30,rerank=2000) [8bit]",163.92975124996156,1028.6 MB,0.927,24.529931965905266,40.766521545592695
cosine,"tqivf (lists=999,probes=99,rerank=100) [8bit]",163.92975124996156,1028.6 MB,0.98,19.467698997728142,51.36713897809386
cosine,"tqivf (lists=999,probes=99,rerank=200) [8bit]",163.92975124996156,1028.6 MB,0.98,19.4846367916382,51.32248605368659
cosine,"tqivf (lists=999,probes=99,rerank=2000) [8bit]",163.92975124996156,1028.6 MB,0.98,13.093011193113202,76.37662454042584
cosine,"tqivf (lists=999,probes=200,rerank=100) [8bit]",163.92975124996156,1028.6 MB,0.9915,10.036231778764025,99.63899021502584
cosine,"tqivf (lists=999,probes=200,rerank=200) [8bit]",163.92975124996156,1028.6 MB,0.9915,9.965945714138133,100.3417065157555
cosine,"tqivf (lists=999,probes=200,rerank=2000) [8bit]",163.92975124996156,1028.6 MB,0.9915,7.966226062116996,125.52995511330664
cosine,"tqivf (lists=999,probes=400,rerank=100) [8bit]",163.92975124996156,1028.6 MB,0.998,5.143920619848689,194.4042441365309
cosine,"tqivf (lists=999,probes=400,rerank=200) [8bit]",163.92975124996156,1028.6 MB,0.998,5.069444128405868,197.26028627017513
cosine,"tqivf (lists=999,probes=400,rerank=2000) [8bit]",163.92975124996156,1028.6 MB,0.998,4.45737480389202,224.34729947475716
cosine,"hnsw (m=32,ef_construction=128,ef_search=100)",793.3974884371273,7810.9 MB,0.99,88.32062978978824,11.322383030783385
cosine,"ivfflat (lists=999,probes=99)",85.81755496514961,7818.8 MB,0.979,4.765805552911723,209.8281159182079
