metric,method,build_s,idx_size,recall,qps,avg_ms
l2,"tqflat (bits=4,rerank=200) [8bit] [fast,noqjl]",3.229596364311874,77.8 MB,0.9996,5.55726371590275,179.94467261619866
l2,"tqflat (bits=4,rerank=2000) [8bit] [fast,noqjl]",3.229596364311874,77.8 MB,0.9998,5.415628116212681,184.6507881525904
l2,"tqivf (lists=1000,probes=10,rerank=100) [8bit]",20.868885738775134,87.5 MB,0.8434,523.6850250220415,1.909544768743217
l2,"tqivf (lists=1000,probes=10,rerank=200) [8bit]",20.868885738775134,87.5 MB,0.8434,455.3289833014636,2.1962142465636134
l2,"tqivf (lists=1000,probes=10,rerank=2000) [8bit]",20.868885738775134,87.5 MB,0.8432,158.57140344475053,6.306307305581868
l2,"tqivf (lists=1000,probes=30,rerank=100) [8bit]",20.868885738775134,87.5 MB,0.9706,205.11078884448628,4.875413944013417
l2,"tqivf (lists=1000,probes=30,rerank=200) [8bit]",20.868885738775134,87.5 MB,0.9708,194.19800942365012,5.149383368901908
l2,"tqivf (lists=1000,probes=30,rerank=2000) [8bit]",20.868885738775134,87.5 MB,0.9708,105.3016743442152,9.496525161899626
l2,"tqivf (lists=1000,probes=99,rerank=100) [8bit]",20.868885738775134,87.5 MB,0.9986,66.66644615918483,15.000049614347517
l2,"tqivf (lists=1000,probes=99,rerank=200) [8bit]",20.868885738775134,87.5 MB,0.9988,65.60690677076893,15.242297636345029
l2,"tqivf (lists=1000,probes=99,rerank=2000) [8bit]",20.868885738775134,87.5 MB,0.9988,49.755177438851746,20.098410888575017
l2,"tqivf (lists=1000,probes=200,rerank=100) [8bit]",20.868885738775134,87.5 MB,0.9996,33.6684269672031,29.701417324133217
l2,"tqivf (lists=1000,probes=200,rerank=200) [8bit]",20.868885738775134,87.5 MB,0.9994,33.43839530216879,29.905741318129003
l2,"tqivf (lists=1000,probes=200,rerank=2000) [8bit]",20.868885738775134,87.5 MB,0.9994,28.474326325347,35.11935589183122
l2,"tqivf (lists=1000,probes=400,rerank=100) [8bit]",20.868885738775134,87.5 MB,0.9996,17.430870258271128,57.369482141919434
l2,"tqivf (lists=1000,probes=400,rerank=200) [8bit]",20.868885738775134,87.5 MB,0.9996,17.314826501334412,57.753971714526415
l2,"tqivf (lists=1000,probes=400,rerank=2000) [8bit]",20.868885738775134,87.5 MB,0.9996,15.820181992775161,63.21039798762649
l2,"hnsw (m=32,ef_construction=128,ef_search=100)",234.13133711693808,966.3 MB,0.9944,113.91292625709839,8.778634987771511
l2,"ivfflat (lists=1000,probes=100)",11.050745110027492,525.0 MB,0.9988,29.79181495155471,33.56626649387181
