dataset,dim,metric,variant,efSearch,recall@10
sift1m,128,l2,full,50,0.9865
sift1m,128,l2,A_allquant,50,0.9840
sift1m,128,l2,B_buildfull,50,0.9810
sift1m,128,l2,C_faisssq,50,0.9745
sift1m,128,l2,full,100,0.9965
sift1m,128,l2,A_allquant,100,0.9980
sift1m,128,l2,B_buildfull,100,0.9970
sift1m,128,l2,C_faisssq,100,0.9865
sift1m,128,l2,full,200,0.9995
sift1m,128,l2,A_allquant,200,0.9990
sift1m,128,l2,B_buildfull,200,0.9990
sift1m,128,l2,C_faisssq,200,0.9880
sift1m,128,l2,full,400,0.9995
sift1m,128,l2,A_allquant,400,1.0000
sift1m,128,l2,B_buildfull,400,1.0000
sift1m,128,l2,C_faisssq,400,0.9885
sift1m,128,l2,full,800,1.0000
sift1m,128,l2,A_allquant,800,1.0000
sift1m,128,l2,B_buildfull,800,1.0000
sift1m,128,l2,C_faisssq,800,0.9885
glove200,200,cosine,full,50,0.7590
glove200,200,cosine,A_allquant,50,0.7645
glove200,200,cosine,B_buildfull,50,0.7615
glove200,200,cosine,C_faisssq,50,0.7585
glove200,200,cosine,full,100,0.8315
glove200,200,cosine,A_allquant,100,0.8220
glove200,200,cosine,B_buildfull,100,0.8390
glove200,200,cosine,C_faisssq,100,0.8280
glove200,200,cosine,full,200,0.8950
glove200,200,cosine,A_allquant,200,0.8940
glove200,200,cosine,B_buildfull,200,0.8880
glove200,200,cosine,C_faisssq,200,0.8830
glove200,200,cosine,full,400,0.9460
glove200,200,cosine,A_allquant,400,0.9400
glove200,200,cosine,B_buildfull,400,0.9390
glove200,200,cosine,C_faisssq,400,0.9225
glove200,200,cosine,full,800,0.9765
glove200,200,cosine,A_allquant,800,0.9680
glove200,200,cosine,B_buildfull,800,0.9700
glove200,200,cosine,C_faisssq,800,0.9560
openai1m,1536,cosine,full,50,0.9810
openai1m,1536,cosine,A_allquant,50,0.9805
openai1m,1536,cosine,B_buildfull,50,0.9795
openai1m,1536,cosine,C_faisssq,50,0.9780
openai1m,1536,cosine,full,100,0.9900
openai1m,1536,cosine,A_allquant,100,0.9905
openai1m,1536,cosine,B_buildfull,100,0.9900
openai1m,1536,cosine,C_faisssq,100,0.9855
openai1m,1536,cosine,full,200,0.9930
openai1m,1536,cosine,A_allquant,200,0.9935
openai1m,1536,cosine,B_buildfull,200,0.9935
openai1m,1536,cosine,C_faisssq,200,0.9895
openai1m,1536,cosine,full,400,0.9955
openai1m,1536,cosine,A_allquant,400,0.9970
openai1m,1536,cosine,B_buildfull,400,0.9970
openai1m,1536,cosine,C_faisssq,400,0.9940
openai1m,1536,cosine,full,800,0.9965
openai1m,1536,cosine,A_allquant,800,0.9985
openai1m,1536,cosine,B_buildfull,800,0.9970
openai1m,1536,cosine,C_faisssq,800,0.9950
